date,open,high,low,close,volume,korcom,forvol,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120,EMAFast,EMASlow,MACD,MACDSignal,MACDiff,RSI,upper_bb,mid_bb,lower_bb,fast_k,slow_k,slow_d
20140214,7490,7690,7440,7660,929635,469900,24979624,108.92199043352082,316.8974597563066,551.8104294048811,744.27414304134,789.8030301214038,7456.0,7216.0,6739.5,7286.0,7731.916666666668,7165.700977037349,6994.839040281969,170.86193675538016,20.40889156637449,150.45304518900568,80.40816326530613,7843.120858809762,551.8104294048811,5635.879141190238,98.31460674157304,91.13378692956394,86.75054069392556
20140217,7690,8230,7530,8210,2820996,1193001,24749644,314.15919531345884,393.6508605350686,631.3952803117862,749.1592324435951,790.8144491950162,7618.0,7363.0,6830.0,7290.666666666668,7737.416666666668,7326.3623651854505,7084.850963224046,241.5114019614048,64.62939364538056,176.88200831602418,86.00682593856655,8092.790560623573,631.3952803117862,5567.209439376427,98.93048128342244,93.73268504751678,89.07792214512263
20140218,8240,8280,7990,8190,1293516,285521,24386979,360.08887791766085,381.1679419888298,678.1701482666422,745.8965336350677,791.1128589244503,7776.0,7519.0,6930.5,7288.166666666668,7744.333333333332,7459.229693618458,7166.7138548370785,292.515838781379,110.20668267258026,182.30915610879882,90.64748201438849,8286.840296533284,678.1701482666422,5574.1597034667175,94.88636363636364,94.11724457713241,90.75769628912587
20140219,8150,8400,8030,8120,1336684,-19021,24359146,305.48322376196046,373.3108624189765,697.1174578218503,743.2837053686752,789.6908282148958,7930.0,7633.0,7031.5,7286.0,7752.75,7560.886663831002,7237.327643367666,323.5590204633363,152.87715023073147,170.68187023260484,85.83690987124461,8425.734915643701,697.1174578218503,5637.2650843563,85.1063829787234,91.11362404432941,90.87633887419372
20140220,8060,8700,8050,8530,3091420,236376,25046056,279.3850389695196,421.2469584459929,744.1868045054274,753.4583045309063,790.1001870368193,8142.0,7771.0,7146.0,7293.5,7765.166666666668,7709.981023241618,7333.081151266358,376.8998719752591,197.681694579637,179.21817739562198,86.07594936708858,8634.373609010854,744.1868045054274,5657.626390989146,92.20183486238531,91.47636098368136,91.07634624402294
20140221,8630,8720,8460,8700,1118839,332790,24872191,224.94443758403983,480.6672445673827,786.3771359850177,768.6119343046116,791.5745516585248,8350.0,7903.0,7269.0,7304.166666666668,7779.25,7862.291635050598,7434.334399320702,427.95723572989664,243.73680280968887,184.22043292020768,89.83739837398373,8841.754271970036,786.3771359850177,5696.245728029965,99.0909090909091,94.01454368609062,92.05574539137884
20140224,8610,8680,8500,8550,854413,35793,24929005,223.73198251479386,484.1239510703845,791.129572194087,775.2829411826434,792.1072063735751,8418.0,8018.0,7388.0,7308.833333333332,7791.416666666668,7968.092921965891,7516.976295667316,451.1166262985753,285.21276750746625,165.90385879110903,88.4,8970.259144388174,791.129572194087,5805.740855611826,92.27272727272728,93.4339382149695,92.5151429992424
20140225,8520,8660,8160,8320,2303188,-569602,25410345,202.2473732833136,443.6665414475155,757.6602140801635,773.9381794145296,791.6181564085149,8444.0,8110.0,7499.0,7307.833333333332,7800.833333333332,8022.232472432677,7576.4595330252905,445.77293940738485,317.32480188745,128.4481375199349,78.15126050420169,9014.320428160328,757.6602140801635,5983.6795718396725,81.81818181818183,89.5620194160403,91.53076847150835
20140226,8270,8350,8100,8130,1786003,-220735,25574045,199.05778055629972,364.7410040014695,677.3248851179169,768.3394793679918,790.0518794498768,8446.0,8188.0,7609.0,7303.333333333332,7808.833333333332,8038.812092058419,7617.462530578975,421.3495614794447,338.1297538058489,83.21980767359571,70.41666666666667,8963.649770235834,677.3248851179169,6254.350229764166,73.18181818181819,84.10195233796625,89.0544964269943
20140227,8170,8480,8110,8390,1011132,94771,25846515,195.07947098554482,277.6688675382964,642.4126399752728,765.346254246279,789.8159727641581,8418.0,8280.0,7706.0,7301.333333333332,7818.75,8092.8410009725085,7674.687528313865,418.15347265864335,354.1344975764078,64.01897508223544,70.78189300411523,8990.825279950546,642.4126399752728,6421.174720049456,80.0,82.7346348919775,86.94787591532206
20140228,8360,8450,8140,8140,927345,-98620,25783831,158.3161394173064,195.7447317298732,615.2284128679357,756.4885803646631,789.3193226164018,8306.0,8328.0,7772.0,7294.833333333332,7825.083333333332,8100.0962315921215,7709.155118809134,390.94111278298806,361.495820617724,29.44529216526411,63.90977443609023,9002.456825735871,615.2284128679357,6541.5431742641285,57.97101449275362,74.48009475890288,82.79194886318233
20140303,8160,8410,8140,8300,891021,-10247,26017151,103.26664514740469,192.14838016491316,577.1568244420223,756.7088828164067,789.8139021314197,8256.0,8337.0,7850.0,7295.0,7832.0,8130.850657501025,7752.921406304755,377.9292511962713,364.78250673343337,13.14674446283783,65.95744680851064,9004.313648884045,577.1568244420223,6695.6863511159545,67.1875,72.04922983926859,79.21104252187774
20140304,8170,8340,8160,8240,528320,-12275,26055431,98.18350166906862,188.88091486436642,509.72026642070966,757.3229716133362,790.6541595413634,8240.0,8342.0,7930.5,7295.5,7836.0,8147.64286403933,7789.001302134032,358.64156190529775,363.5543177678063,-4.912755862508561,65.72438162544168,8949.940532841421,509.72026642070966,6911.0594671585795,59.66386554621849,67.92077507491855,75.447620039558
20140305,8330,8860,8280,8750,2026745,601320,25991501,209.43734146517426,208.3866598417471,490.29480927295083,770.4178339633694,794.9930817309416,8364.0,8405.0,8019.0,7303.833333333332,7844.0,8240.313192648664,7860.186390864845,380.1268017838193,366.8688145710089,13.257987212810292,69.87577639751554,8999.589618545902,490.29480927295083,7038.4103814541,87.35632183908045,74.39929066297252,75.09817691402951
20140306,8760,8760,8530,8670,711435,63016,25885991,243.55697485393432,220.6558406206371,466.9528884159506,783.4102621799194,798.5188328329822,8420.0,8419.0,8095.0,7313.166666666668,7850.416666666668,8306.418855318101,7920.172584134115,386.2462711839844,370.74430589360406,15.501965290380324,66.2379421221865,9028.905776831902,466.9528884159506,7161.094223168098,77.10843373493977,75.30233835362826,75.16623072722909
