date,open,high,low,close,volume
20111208,264500,276500,261000,272000,126983
20111209,266000,302000,260500,285500,164405
20111212,287500,288000,277500,283500,57953
20111213,290500,304000,283000,287000,151882
20111214,291000,291000,272000,289500,75538
20111215,282500,284500,278000,281000,28495
20111216,275500,287500,275000,277500,34873
20111219,277500,279000,250000,263000,45277
20111220,268000,283500,261000,282000,37574
20111221,285000,288000,276500,279500,32640
20111222,279500,286000,276500,284000,26384
20111223,289000,292500,282500,287000,21851
20111226,287500,290000,282500,287500,13736
20111227,285500,289000,276500,282500,36789
20111228,280000,280000,271000,275500,22469
20111229,275000,287000,271000,285500,29741
20120102,288000,288000,273500,277000,24223
20120103,280000,282000,274500,277000,44971
20120104,280000,287500,278500,283000,46780
20120105,285500,291500,282000,289000,37031
20120106,281000,288000,278000,279500,24597
20120109,278000,283000,275000,279000,24572
20120110,284000,289000,281500,288000,36449
20120111,288000,289500,285000,287500,20056
20120112,290000,300000,290000,300000,43110
20120113,313000,334500,306000,306500,93290
20120116,304000,316500,303500,304000,23549
20120117,306000,329000,306000,329000,55912
20120118,327000,340000,321500,328000,50933
20120119,328000,332000,318000,323000,37163
20120120,321500,328500,319500,327000,32210
20120125,328000,331000,316500,320000,44960
20120126,316500,318500,310000,311500,43417
20120127,310500,318000,308500,315500,43338
20120130,314000,314000,299500,299500,72588
20120131,296500,312000,296000,303000,40118
20120201,304000,312000,298000,299500,43130
20120202,305000,315500,303000,312000,68235
20120203,318000,346000,316000,332000,125924
20120206,338000,351500,333000,344000,65775
20120207,338500,350500,335500,340500,33457
20120208,340000,345500,334500,339500,47867
20120209,339500,349500,337000,349500,29965
20120210,350000,350000,336500,345000,25710
20120213,345000,347500,336000,337000,20594
20120214,337000,350000,336000,347000,27574
20120215,350000,355000,343000,350000,28692
20120216,343000,346500,341000,345000,13147
20120217,346000,351000,340500,343000,18709
20120220,343000,352500,343000,348500,21574
20120221,345500,353500,345500,349000,15460
20120222,347500,352500,346000,349000,23307
20120223,351000,351000,338000,342500,18880
20120224,347000,355000,343500,349500,28955
20120227,350000,351000,341500,348000,24014
20120228,349500,356000,344000,352500,24660
20120229,355000,364000,352500,359000,32308
20120302,367000,372000,360500,371000,43036
20120305,380500,380500,354500,354500,55020
20120306,349500,358000,349000,351000,13442
20120307,349000,349000,340000,341000,30788
20120308,341500,342500,330500,333000,58034
20120309,339000,341000,328000,328000,41285
20120312,330500,338000,329500,330000,33708
20120313,335000,338000,331000,333000,37663
20120314,332500,343500,332500,341000,33922
20120315,339000,344500,325000,328000,37615
20120316,330000,332500,327000,327000,22562
20120319,327000,330000,320000,321000,33766
20120320,317500,325000,317500,324500,20146
20120321,320000,322500,315000,317500,17732
20120322,316000,316000,308000,310500,18069
20120323,309000,318000,308000,312000,17105
20120326,315000,318500,312000,315000,9889
20120327,319500,332000,317500,330000,35297
20120328,330000,330000,321500,321500,28219
20120329,318000,325000,316000,321000,21610
20120330,325500,332000,319000,326000,25986
20120402,326500,333000,326000,327500,13638
20120403,326500,332000,324500,325500,16870
20120404,328000,332500,318000,324000,27614
20120405,323500,323500,314000,314000,21804
20120406,314000,318000,310500,313000,14099
20120409,310500,317000,310000,316000,11993
20120410,319000,323500,311500,311500,18909
20120412,311500,315000,310000,312500,13921
20120413,319500,323500,315500,323000,12550
20120416,323000,326500,318000,320000,9389
20120417,319000,324000,317000,324000,18699
20120418,325500,327000,319500,323000,20255
20120419,320000,323500,316500,318000,9808
20120420,320000,322000,313000,317000,15043
20120423,316500,319500,313000,315000,8656
20120424,312000,317000,309000,316500,14887
20120425,317000,317500,310500,314000,9122
20120426,313000,316000,303000,308500,15250
20120427,305000,308000,293000,299000,29068
20120430,299500,301000,291000,291000,15949
20120502,290000,300000,290000,293000,31170
20120503,293000,296000,291000,292500,13752
20120504,290000,299000,290000,299000,17252
20120507,298000,298000,283500,283500,20850
20120508,285500,301500,284500,301500,25057
20120509,299000,299000,290500,295000,14814
20120510,295500,297000,290000,291500,15455
20120511,292000,297000,289000,292000,14864
20120514,290000,294500,287000,292000,14051
20120515,290000,295000,285500,292000,19902
20120516,287000,292000,282000,282000,13908
20120517,283000,284000,276000,276500,22086
20120518,273000,273000,260500,261000,27201
20120521,260000,263500,252500,254000,33603
20120522,259000,269500,254500,268000,28750
20120523,270000,271000,262500,263000,22969
20120524,262000,277000,260500,276000,17744
20120525,272000,278000,272000,275000,13407
20120529,273500,284000,273500,284000,10225
20120530,285000,285000,275000,285000,23541
20120531,281000,299500,277500,296000,32400
20120601,291000,294000,283500,285000,25644
20120604,275500,287500,274500,278000,19594
20120605,273000,282000,273000,277500,16962
20120607,283000,288000,279000,279000,14355
20120608,279500,286000,279500,284000,11119
20120611,284000,290500,284000,290500,14359
20120612,286000,291500,284500,289000,7588
20120613,289000,294500,288000,292500,14792
20120614,292500,298500,289500,298500,25771
20120615,298500,299000,286000,286000,16548
20120618,291500,294500,289000,292000,19202
20120619,288000,298000,288000,295500,11334
20120620,297500,307500,296000,304000,34360
20120621,308000,308000,296000,296500,551508
20120622,296500,300000,286500,288500,47526
20120625,285500,292500,283000,290500,16340
20120626,286500,292500,277500,277500,35755
20120627,278500,281000,274500,281000,27550
20120628,275500,282500,275500,276000,23077
20120629,274500,280000,274000,278000,33702
20120702,280000,281500,277000,281500,21611
20120703,281500,290000,280000,290000,19360
20120704,287000,299000,287000,293000,34654
20120705,292000,303000,292000,299000,31118
20120706,297000,304000,294000,297000,24189
20120709,297000,302000,293500,302000,16971
20120710,304500,304500,291500,295000,13949
20120711,298500,299500,284000,285000,31162
20120712,284000,286000,280500,280500,27556
20120713,280000,283000,276500,280500,26247
20120716,280000,285500,278000,280000,21761
20120717,281000,283000,277500,281500,23594
20120718,284000,285500,279000,284000,20913
20120719,290000,291500,284000,287500,19610
20120720,290500,290500,280500,280500,19142
20120723,279000,279000,269000,270500,27111
20120724,270000,270500,262000,264500,31015
20120725,262000,268000,257500,264000,30894
20120726,263000,270500,263000,270500,18977
20120727,277000,279500,273000,279000,18210
20120730,280000,281000,275500,278500,13295
20120731,280500,289500,276500,285000,20013
20120801,283500,289000,282500,284500,13997
20120802,287000,287500,278000,278500,14472
20120803,278000,283000,274000,280000,10958
20120806,283500,286000,277500,280500,18839
20120807,280000,282500,277000,278000,15793
20120808,277500,288000,277500,282500,33515
20120809,281500,292000,281500,290000,30722
20120810,293000,295000,288000,291000,17851
20120813,289000,295000,289000,294000,11469
20120814,297500,297500,284000,288000,34599
20120816,288000,295000,285500,295000,32003
20120817,296000,306000,293500,305000,39658
20120820,307000,307000,298500,302500,13027
20120821,306500,306500,301000,302500,11618
20120822,303000,303500,295500,299500,17339
20120823,299500,299500,293000,293000,16650
20120824,292500,296500,289000,293500,17734
20120827,296000,303500,295000,300000,20887
20120828,297500,301500,295500,301500,8529
20120829,301500,304000,298500,299000,13056
20120830,298000,301000,287500,287500,23555
20120831,285000,289500,283000,283000,23951
20120903,284500,287500,280000,287500,17377
20120904,284500,287500,283500,285500,16765
20120905,282000,285500,278000,278500,20195
20120906,278000,280500,275500,275500,17270
20120907,280000,282500,279500,281000,20663
20120910,282000,285500,281000,284500,16669
20120911,286000,286000,282000,284000,10392
20120912,286000,289000,283500,287000,17973
20120913,285000,286000,281000,281500,25560
20120914,286000,289500,284500,288000,36249
20120917,286000,293000,286000,291000,31291
20120918,289500,290500,282500,283500,30000
20120919,285000,286500,280500,283500,32236
20120920,282500,283000,279500,280000,35582
20120921,280500,282000,277500,278500,29690
20120924,279000,283000,277500,282500,29956
20120925,280500,283500,278500,279000,16977
20120926,277000,280000,276500,279000,14222
20120927,277000,281500,277000,281500,20831
20120928,282000,293000,280500,291500,70533
20121002,294000,301000,292000,299000,54206
20121004,299500,300000,293500,296500,19243
20121005,294500,306000,294500,302000,52541
20121008,300500,307000,297500,303000,22536
20121009,303500,306000,301000,303500,19418
20121010,299500,300000,291500,297500,25710
20121011,294000,307000,293000,307000,41339
20121012,307500,325500,305000,323500,65203
20121015,319000,322500,312500,319000,51933
