date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20160128,2270000,2360000,2240000,2359000,977,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160129,2327000,2418000,2327000,2418000,2469,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160201,2420000,2479000,2418000,2447000,1156,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160202,2420000,2498000,2408000,2486000,1157,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160203,2463000,2490000,2415000,2430000,1196,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160204,2447000,2483000,2379000,2450000,1409,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160205,2450000,2450000,2395000,2424000,1256,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160211,2462000,2494000,2417000,2456000,1956,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160212,2437000,2486000,2322000,2353000,2138,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160215,2310000,2408000,2304000,2378000,1527,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160216,2365000,2410000,2365000,2381000,920,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160217,2404000,2425000,2375000,2407000,1694,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160218,2412000,2510000,2412000,2499000,2028,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160219,2499000,2523000,2424000,2432000,1450,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160222,2444000,2490000,2418000,2460000,833,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160223,2468000,2471000,2434000,2462000,1494,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160224,2468000,2514000,2433000,2447000,1267,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160225,2447000,2488000,2410000,2464000,876,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160226,2482000,2507000,2472000,2482000,888,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160229,2470000,2516000,2398000,2398000,2004,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160302,2390000,2460000,2390000,2425000,1581,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160303,2412000,2425000,2361000,2376000,1583,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160304,2500000,2500000,2369000,2379000,1555,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160307,2398000,2560000,2381000,2425000,4103,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160308,2530000,2766000,2474000,2565000,6641,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160309,2588000,2849000,2565000,2806000,5118,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160310,2841000,2943000,2701000,2743000,6905,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160311,2743000,2750000,2638000,2644000,4073,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160314,2675000,2699000,2626000,2626000,2250,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160315,2653000,2666000,2614000,2618000,2116,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160316,2622000,2640000,2600000,2619000,1656,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160317,2619000,2630000,2598000,2600000,2545,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160318,2585000,2629000,2570000,2598000,3296,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160321,2618000,2618000,2584000,2586000,1056,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160322,2583000,2638000,2581000,2598000,2264,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160323,2598000,2605000,2584000,2592000,1460,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160324,2582000,2605000,2580000,2588000,2109,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160325,2588000,2643000,2584000,2614000,890,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160328,2613000,2614000,2580000,2589000,1476,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160329,2580000,2606000,2573000,2592000,1466,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160330,2610000,2628000,2585000,2624000,1709,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160331,2624000,2628000,2551000,2568000,1811,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160401,2587000,2587000,2552000,2553000,1267,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160404,2553000,2553000,2487000,2501000,1940,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160405,2523000,2523000,2471000,2496000,975,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160406,2481000,2509000,2468000,2489000,1337,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160407,2480000,2509000,2472000,2492000,807,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160408,2486000,2499000,2471000,2499000,1236,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160411,2477000,2500000,2453000,2453000,905,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160412,2469000,2469000,2438000,2438000,1073,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160414,2427000,2455000,2422000,2447000,1336,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160415,2434000,2459000,2425000,2434000,1312,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160418,2422000,2448000,2409000,2412000,1234,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160419,2410000,2419000,2400000,2411000,1048,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160420,2427000,2470000,2415000,2416000,1432,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160421,2424000,2445000,2417000,2418000,1320,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160422,2412000,2425000,2403000,2420000,1118,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160425,2419000,2446000,2412000,2437000,2418,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
20160426,2437000,2498000,2421000,2498000,4626,2.86,1.8,1893,66249,4200.44,110.69,-379.86,452.0,56,1136,-591,-1360
