date,open,high,low,close,volume,korcom,forvol
20141002,20800,21050,20400,20950,201790,74231,5728438
20141006,20850,21100,20250,20550,199050,-8062,5696967
20141007,20700,20700,20000,20400,182620,15678,5663540
20141008,20150,20750,20100,20450,209050,29559,5638900
20141010,20550,20600,20250,20450,146953,32057,5619726
20141013,20250,20550,19750,20000,257628,89865,5585322
20141014,20100,20400,19950,20100,249271,-111799,5595542
20141015,20300,20500,19850,20200,328783,-117110,5603894
20141016,20250,20300,19850,20150,181881,-19355,5616280
20141017,20300,20700,19950,20500,327886,-125595,5641085
20141020,20550,20650,20150,20400,97057,-25243,5646152
20141021,20250,20600,20150,20300,107486,-11117,5688610
20141022,20400,21250,20400,21000,330826,-45839,5767939
20141023,21050,21450,21000,21000,193968,-33335,5795184
20141024,21150,21300,20550,20850,126811,-35312,5829081
20141027,20900,21000,20350,20500,92115,-29833,5829664
20141028,20600,20900,20000,20650,160333,34463,5808568
20141029,20600,21550,20450,21250,187309,-15965,5805817
20141030,21500,22100,21450,21850,432969,-30424,5826172
20141031,21800,22000,21350,21700,113872,-22385,5798157
20141103,21500,21800,21250,21450,106624,16729,5810124
20141104,21450,21800,21200,21350,67879,2896,5806582
20141105,21700,21700,21000,21300,90346,24098,5787447
20141106,21250,22150,21200,21950,206282,39483,5760789
20141107,21800,22400,21750,22100,126944,-13112,5721214
20141110,22150,22250,21700,21800,103096,-6046,5729934
20141111,21650,21850,21500,21650,77689,11034,5715583
20141112,21500,21550,21250,21550,117762,-37074,5759996
20141113,21400,22000,21250,21450,129393,-31342,5778833
20141114,21400,21600,21200,21400,62967,-11486,5782233
20141117,21650,21750,20950,21250,101405,-24841,5793756
20141118,21400,21400,21050,21200,91195,-20709,5787937
20141119,21400,21400,20850,21150,88694,-34242,5792432
20141120,21150,21150,20700,21100,92006,-13757,5784050
20141121,21100,21200,20900,20950,39698,9718,5774283
20141124,21000,21400,20850,21150,54380,9040,5775346
20141125,21300,21450,21150,21300,65297,7887,5766716
20141126,21300,21300,20900,21050,37458,9269,5763838
20141127,21100,21550,21100,21450,73317,27674,5765106
20141128,21450,21500,21250,21300,58433,7586,5759334
20141201,21150,21200,20450,20550,152720,-24811,5755339
20141202,20250,20850,20250,20500,75772,-5238,5627132
20141203,20500,21150,20500,20950,103003,16133,5628379
20141204,20750,21650,20750,21350,128429,64475,5633330
20141205,21250,21500,20950,21450,98076,10141,5622574
20141208,21300,21400,20900,21250,123548,18406,5619832
20141209,21050,21250,20700,20700,128460,-49936,5621717
20141210,20600,21000,20550,20750,69471,30523,5615065
20141211,20600,20850,20350,20800,139874,33807,5571250
20141212,20700,21250,20550,21100,152616,12652,5539192
20141215,21200,21200,20550,21050,165796,33757,5473858
20141216,21250,24200,21200,23200,1315097,120159,5485218
20141217,23150,23300,22250,22600,423873,61632,5473713
20141218,23150,23250,22050,22700,331061,18367,5531088
20141219,22650,23200,22500,22900,212716,-43410,5526865
20141222,22800,23550,22450,23200,213596,33350,5523178
20141223,23100,24500,23100,23950,275520,64899,5419721
20141224,24200,24900,24050,24300,153129,45160,5416520
20141226,24350,24700,23700,23800,142303,-18354,5429384
20141229,23800,24700,23750,24350,129694,11344,5429390
20141230,24050,24800,23600,24450,193407,26383,5443256
