date,open,high,low,close,volume,korcom,forvol
20180605,16300,16350,16150,16300,35445,-27692,1407473
20180607,16350,16800,16300,16650,58167,7371,1400864
20180608,16650,16650,16350,16500,33347,-2558,1400571
20180611,16500,16550,16400,16550,14866,-3023,1399686
20180612,16600,16700,16350,16500,39835,-15167,1393754
20180614,16450,16500,16250,16400,47628,-4077,1393755
20180615,16400,16450,16100,16150,64227,-25414,1379935
20180618,16250,16250,15900,16000,67402,-23765,1377854
20180619,16000,16150,15650,15750,66620,-22261,1368775
20180620,15650,15800,15600,15800,47808,-15119,1373439
20180621,15850,15850,15250,15250,93414,-26990,1352617
20180622,15150,15200,14950,15150,105649,-43518,1350958
20180625,15300,15450,15050,15400,54190,-31418,1353026
20180626,15300,15450,14950,15400,80095,-37210,1347822
20180627,15400,15400,14900,14950,56990,-45638,1345467
20180628,14900,15250,14850,15100,26545,-10398,1343359
20180629,15150,15300,14900,15300,38768,3049,1344333
20180702,15300,15350,14950,14950,34331,-21638,1344292
20180703,14950,15100,14750,14950,57442,-21669,1343326
20180704,14950,14950,14650,14800,49441,-27375,1343786
20180705,14750,14750,14500,14700,50485,-24050,1342521
20180706,14700,14950,14650,14950,34586,-10245,1343912
20180709,14900,14950,14800,14950,16639,-11907,1344481
20180710,15000,15000,14850,15000,30962,-24408,1343713
20180711,14950,14950,14700,14800,40236,-14421,1345213
20180712,14800,14800,14650,14800,29327,-16882,1345499
20180713,14800,15050,14750,14900,37225,-22662,1349488
20180716,14800,14900,14600,14700,52992,-34100,1344597
20180717,14650,14750,14600,14700,25297,-12044,1347161
20180718,14650,14700,14600,14700,30599,-15060,1348259
20180719,14700,14750,14550,14650,63912,-57725,1347414
20180720,14650,14850,14550,14850,53181,-20426,1349953
20180723,14850,14950,14750,14900,43024,-8213,1372515
20180724,14950,15000,14750,15000,61333,-13581,1365514
20180725,14900,14950,14800,14900,57196,-36521,1365763
20180726,15000,15000,14750,14900,131840,-27822,1362201
20180727,14900,14950,14700,14950,74615,-24332,1365246
20180730,14900,15050,14900,15000,21397,-9803,1370775
20180731,15000,15200,14950,15150,49067,-25081,1377165
20180801,15050,15150,14900,15050,41339,-26396,1371903
20180802,15050,15050,14900,15000,59657,-35912,1374136
20180803,15100,15500,15000,15500,138034,30311,1380005
20180806,15400,15400,15150,15200,63529,-21362,1375776
20180807,15200,15200,15000,15050,40991,-21346,1353605
20180808,15050,15150,15000,15100,16381,-10025,1358691
20180809,15150,15150,14950,15100,33140,-23326,1356061
