date,open,high,low,close,volume,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
20190923,36250,36300,35800,36000,96990,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190924,36000,36250,35650,36050,178074,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190925,36050,36150,35500,35600,193425,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190926,35650,35850,35500,35700,126060,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190927,35900,35900,35000,35150,109385,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20190930,34750,35350,34750,35350,107369,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191001,35350,35750,35150,35400,88824,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191002,35300,35300,34450,34650,291313,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191004,34550,34850,34250,34250,164141,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191007,34300,34450,34050,34350,147893,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191008,34800,34800,34300,34700,128531,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191010,34250,34600,34050,34300,233905,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191011,34750,34850,34250,34350,200853,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191014,34800,35150,34750,35000,178849,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191015,35100,35100,34500,34650,139024,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191016,34900,35200,34750,35000,176209,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191017,34900,35050,34400,34600,119712,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191018,34700,35000,34300,34300,148224,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191021,34250,34500,34100,34100,140616,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191022,34250,34500,34200,34300,147605,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191023,34300,34600,34150,34450,174075,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191024,34350,34450,34000,34300,127508,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191025,34050,34350,34000,34250,86858,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191028,34400,34700,34150,34250,98126,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191029,34450,34450,34100,34100,125707,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191030,34400,34400,33800,33850,173531,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191031,34000,34050,33600,33600,174012,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191101,33550,33900,33250,33700,104140,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191104,34000,34900,33800,34850,258567,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191105,34850,35000,34450,34950,189185,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191106,34950,35000,34450,34450,167467,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191107,34450,34700,34300,34550,120137,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191108,34650,35050,34650,34900,161977,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191111,34900,35000,34600,34750,145109,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191112,34750,35400,34750,35250,202341,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191113,35000,35150,34750,34850,119917,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191114,34750,35200,34650,35200,203819,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191115,35000,35700,34850,35700,261461,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191118,35550,35750,35250,35450,144905,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191119,35450,35700,35000,35700,187446,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191120,35500,35650,35250,35450,179012,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191121,35200,35300,34900,35200,188979,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191122,35200,35400,34950,35400,144252,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191125,35200,35850,35200,35850,176635,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191126,35900,36400,35700,36200,391268,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191127,36450,36550,36050,36450,147042,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191128,36200,36400,36050,36400,89845,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191129,36450,36600,35850,36100,150180,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191202,36000,36400,35900,36200,115533,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191203,35850,36300,35700,36000,192204,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191204,35700,36550,35600,36400,214601,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191205,36250,36550,36100,36300,118307,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191206,36300,36450,35700,35950,240610,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191209,36000,36500,35800,36200,160280,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191210,36100,36650,36100,36500,131183,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
20191211,36500,37000,36350,36850,232850,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700.0,804.0,-39480.0,1887.0,38717.0
