date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120
20200605,63900,64100,60800,64000,9298,-113,338.2306905057552,767.3982017177926,3049.6557182737856,8364.60544828957,9753.826804203005,64240.0,63610.0,61140.0,52309.166666666664,59647.083333333336
20200608,64300,64600,62800,63600,16798,-580,422.37424163885765,760.5261336730658,2871.567516183452,8467.412163701496,9717.12869649089,64160.0,63640.0,61510.0,52417.5,59596.25
20200609,63200,64300,62500,63600,17265,-1288,402.98883359219775,720.3471385378732,2584.9564793241684,8586.190907821443,9679.14595886722,63960.0,63710.0,61900.0,52580.833333333336,59544.583333333336
20200610,63500,64600,62900,64600,19677,-831,366.60605559646723,751.2655988395196,2353.396481683441,8718.814067864969,9644.714576950082,63940.0,63840.0,62295.0,52812.5,59501.25
20200611,64200,64700,62500,63500,12411,-468,407.9215610874228,463.5730794596489,1902.734873806648,8773.705032652972,9603.765094641563,63860.0,63990.0,62660.0,53110.0,59447.083333333336
20200612,61000,62200,60100,61100,25018,-6246,1161.7228585166085,981.0198774743058,1524.6229041963131,8769.347498848227,9557.152562566256,63280.0,63760.0,62845.0,53376.666666666664,59373.75
20200615,61000,61400,58100,58900,27613,-2585,2069.396047159654,1748.856769435308,1524.6229041963131,8717.401618155627,9499.642527996635,62340.0,63250.0,62845.0,53619.166666666664,59274.583333333336
20200616,59600,62100,59600,62000,25885,2353,1971.1925324533881,1721.888498132124,1394.8028534527741,8643.024483490855,9450.170991618796,62020.0,62990.0,62945.0,53956.666666666664,59206.25
20200617,61600,62200,60700,61800,12036,-2024,1500.1333274079338,1652.2711641857404,1375.2363433243027,8389.31906089855,9391.315793135112,61460.0,62700.0,62965.0,54380.833333333336,59129.583333333336
20200618,61700,63500,61200,63100,28458,-3338,1396.280774056565,1611.0865898516138,1364.148085803004,8168.00580007141,9335.39626569221,61380.0,62620.0,63010.0,54807.5,59063.75
20200619,63400,63500,61300,62200,12516,-565,1421.2670403551895,1546.0918472069186,1353.4677683639165,7749.054198560136,9273.54090612103,61600.0,62440.0,63025.0,55280.833333333336,58988.75
20200622,61900,61900,60600,61400,8339,-1299,565.6854249492379,1521.709564930083,1396.8178120284692,7452.6968925498695,9208.567785476867,62100.0,62220.0,62930.0,55670.833333333336,58907.083333333336
20200623,61200,61600,59900,60000,15838,-2585,1019.803902718557,1577.4663229367852,1535.9931640472882,7220.978504022555,9130.670146620618,61700.0,61860.0,62785.0,55988.333333333336,58807.083333333336
20200624,60500,61300,60000,61300,11999,-50,1029.5630140987,1288.4486796142492,1564.0572240170754,6995.059516465116,9056.941389143962,61600.0,61530.0,62685.0,56320.833333333336,58720.416666666664
20200625,60600,60600,58700,59000,18724,-11034,1135.6055653262713,1307.5167302943782,1754.786311777021,6741.963271184463,8969.77949956594,60780.0,61080.0,62535.0,56607.5,58608.75
20200626,59400,59500,58400,59300,9290,-683,993.9818911831343,1412.090648648203,1876.992274890869,6464.128528958039,8902.46079237209,60200.0,60900.0,62330.0,56900.833333333336,58514.583333333336
20200629,58400,59000,57500,58100,13591,1860,1070.700705145934,1539.9999999999034,2047.260364487136,6195.3196379740575,8842.19405236745,59540.0,60820.0,62035.0,57157.5,58417.083333333336
20200630,58600,59900,58200,59400,15249,355,1045.7533169921096,1538.310761842256,2035.1596988934311,5862.613656799266,8798.979571123895,59420.0,60560.0,61775.0,57453.333333333336,58345.416666666664
20200701,59800,60000,58900,59400,10087,1547,492.34134500364684,1513.1424255501206,1981.3884021059573,5534.198978473192,8749.235829726316,59040.0,60320.0,61510.0,57735.0,58268.75
20200702,59500,61900,59300,61900,25007,-234,1241.6118556135004,1323.6313686218311,1907.3279738943693,5215.226105676889,8710.182728262496,59620.0,60200.0,61410.0,58050.0,58217.916666666664
20200703,61900,61900,60900,61800,7334,1182,1490.503270710937,1267.4383614202713,1816.0396471443014,5014.434996421209,8676.67802174632,60120.0,60160.0,61300.0,58305.0,58172.083333333336
20200706,61700,61800,60300,61800,12011,1442,1192.6441212700458,1311.4877048602866,1742.9572570777518,4857.459612687411,8643.680002930212,60860.0,60200.0,61210.0,58531.666666666664,58127.083333333336
20200707,61800,61900,60700,61200,6665,2442,943.1860898041276,1342.2369388448903,1654.660085939103,4714.04785956005,8599.9861817557,61220.0,60320.0,61090.0,58731.666666666664,58069.583333333336
20200708,60900,61200,59000,59500,18517,-1262,904.6546302318914,1319.2422067231255,1477.5909447475644,4572.364146575529,8547.781865863739,61240.0,60140.0,60835.0,58891.666666666664,57994.583333333336
20200709,59500,60200,59500,60000,10591,2202,945.7272334029512,1265.8593918756148,1353.6617007214172,4435.151882655509,8495.491359391759,60860.0,60240.0,60660.0,59053.333333333336,57923.75
20200710,59500,60100,58600,59100,15109,-3087,1022.5458424931372,1282.0296408428715,1390.827092057097,4253.3937430402375,8439.71463733948,60320.0,60220.0,60560.0,59215.0,57844.583333333336
20200713,59300,60300,59100,60300,9328,3205,719.444229944198,1070.7007051457947,1339.8134198462112,4078.575799903206,8382.948870823047,60020.0,60440.0,60630.0,59388.333333333336,57773.75
20200714,60200,60800,59300,60400,9070,-132,492.34134500364684,1014.1005867268306,1302.8814220795382,3878.0345644841627,8327.659224519355,59860.0,60540.0,60550.0,59567.5,57705.416666666664
20200715,60900,61100,60100,60700,10052,3968,547.7225575051662,940.2659198331619,1271.7999056455385,3712.3789729618707,8274.50316358431,60100.0,60670.0,60495.0,59730.833333333336,57641.25
20200716,60700,61200,60400,60900,7855,4226,627.3754856543247,853.2877591994989,1128.8378980172486,3544.7828447829106,8226.510742292607,60280.0,60570.0,60385.0,59892.5,57582.916666666664
20200717,60900,61100,60400,60900,5809,3642,249.7999199359359,761.3146524267755,1057.6388797694608,3324.151834177742,8185.945940299147,60640.0,60480.0,60320.0,60067.5,57531.25
20200720,60900,60900,59700,60500,16111,3258,203.9607805437114,623.2976816896578,1029.5023069425342,3052.232334246988,8168.395554666783,60680.0,60350.0,60275.0,60243.333333333336,57501.25
20200721,60500,60600,60000,60500,10865,796,178.88543819998318,559.9999999997339,1028.5912696499033,2770.2040638834105,8156.3770105053445,60700.0,60280.0,60300.0,60411.666666666664,57478.75
20200722,60100,60500,59700,60100,12334,31,299.3325909419153,502.3942674829222,1003.1948963187563,2478.764813369881,8146.9771042700295,60580.0,60340.0,60240.0,60565.0,57458.75
20200723,60100,60200,58900,59300,12505,-8098,542.5863986500215,586.6003750422445,986.6483669474144,2447.8896807024435,8138.127759964209,60260.0,60270.0,60255.0,60598.333333333336,57436.25
20200724,59000,59300,58600,59300,8624,-763,542.5863986500215,548.5435260758275,986.6483669474144,2406.386756575685,8131.0041810993835,59940.0,60290.0,60255.0,60638.333333333336,57417.083333333336
20200727,59300,59300,58600,59000,6960,-2658,564.2694391866354,671.1184694222786,904.4335243676013,2379.063190978183,8111.288162784152,59640.0,60160.0,60300.0,60665.0,57377.083333333336
20200728,59000,59200,57700,58500,20132,-10076,520.0,827.1033792699085,968.2329265212994,2292.487125857603,8095.592668836686,59240.0,59970.0,60255.0,60718.333333333336,57339.583333333336
20200729,58400,58400,57200,57300,18765,-12260,749.3997598078078,1108.1967334366682,1151.7378173872733,2308.019834307362,8068.9386327894645,58680.0,59630.0,60150.0,60706.666666666664,57279.583333333336
20200730,57300,57700,57000,57500,8708,-2312,795.989949685296,1185.284775908179,1214.948558581803,2318.6556210204044,8043.273317482274,58320.0,59290.0,59930.0,60698.333333333336,57222.916666666664
20200731,57500,57500,56700,57200,13549,-5797,718.3313998427188,1202.3310692150073,1273.184982632139,2292.9214746452867,8023.316704300041,57900.0,58920.0,59700.0,60713.333333333336,57171.25
20200803,56800,57400,56100,56100,24136,-15094,765.2450587883596,1340.7460609674386,1402.5958077792761,2296.235445729129,8000.103026680349,57320.0,58480.0,59415.0,60711.666666666664,57106.25
20200804,56400,57900,56400,57600,20073,-1074,538.8877434122992,1175.9676866307602,1392.9375434670428,2243.01074946663,7955.75567985217,57140.0,58190.0,59235.0,60741.666666666664,57033.75
20200805,57500,57700,56800,57400,7061,-925,546.2600113499066,1003.79280730622,1447.1005493745072,2223.695622656764,7859.521814953013,57160.0,57920.0,59130.0,60753.333333333336,56924.583333333336
20200806,57700,58200,57100,57600,14756,-406,560.0,893.5882720804375,1469.3195704134619,2182.763284361405,7763.622604010326,57180.0,57750.0,59010.0,60776.666666666664,56818.75
20200807,57600,57800,56200,56900,22048,-9972,570.6137047074843,756.9015788064536,1539.155612665594,2196.5496933955733,7664.6518072505405,57120.0,57510.0,58900.0,60768.333333333336,56707.083333333336
20200810,56600,57300,56500,57100,19887,-6941,278.5677655436824,575.84720195526,1551.5798400340216,2233.8376296311662,7571.680779482781,57320.0,57320.0,58740.0,60738.333333333336,56602.083333333336
20200811,56900,57700,56900,57700,15520,-4073,300.66592756745814,447.66058571165496,1518.3790699295087,2265.6860623956627,7483.892599276134,57340.0,57240.0,58605.0,60700.0,56506.25
20200812,58300,62400,58300,62400,60657,11142,2051.925924588897,1613.2265804900753,1672.9913329123974,2274.4352168299242,7410.081521800035,58340.0,57750.0,58690.0,60716.666666666664,56447.916666666664
20200813,62100,62600,61000,61300,20683,1056,2303.388807822075,1926.681084144364,1701.4405661086137,2267.560485534219,7352.98124298725,59080.0,58130.0,58710.0,60701.666666666664,56395.416666666664
20200814,61400,62500,59400,60300,20184,-50,2047.0466531078375,2000.0999975000504,1667.5131183891779,2262.714078269861,7317.493297552264,59760.0,58440.0,58680.0,60675.0,56354.583333333336
20200818,60300,61000,58200,58800,21319,2134,1686.4163187066235,1841.9826274967152,1615.077397526199,2248.9997776790947,7275.010010970591,60100.0,58710.0,58595.0,60600.0,56300.416666666664
20200819,59300,59400,58200,59100,9595,-1359,1346.699669562594,1806.2115047800196,1560.4086003351815,2236.810725614225,7240.77227647178,60380.0,58860.0,58525.0,60536.666666666664,56255.416666666664
20200820,59000,59000,56300,57200,24550,-10586,1392.264342716569,1823.2937229090933,1541.9468213917107,2247.5041712977104,7210.831828556421,59340.0,58840.0,58380.0,60435.0,56202.916666666664
20200821,57900,57900,57000,57500,9251,-4263,1126.765281680262,1830.3278394866047,1538.1482373295496,2269.0085940781714,7199.531222683112,58580.0,58830.0,58290.0,60360.0,56175.416666666664
20200824,57900,57900,56600,57400,12312,-6614,787.4007874011812,1783.143292054708,1531.4943682560506,2265.038631017271,7190.982187878717,58000.0,58880.0,58195.0,60260.0,56152.083333333336
20200825,57600,59000,57300,58800,10922,798,787.4007874011812,1683.597339033209,1526.851335264832,2219.2991886831023,7180.244296660268,58000.0,59050.0,58185.0,60173.333333333336,56132.083333333336
20200826,58300,58800,57000,58000,7730,871,574.108003776293,1661.8062462271896,1525.5818562109343,2159.935698631513,7160.7910870975475,57780.0,59080.0,58160.0,60063.333333333336,56097.083333333336
20200827,58000,58000,56800,57200,7602,-1497,574.108003776293,1319.9999999998872,1528.5532375419573,2104.2886103279957,7138.95124135114,57780.0,58560.0,58155.0,59938.333333333336,56054.583333333336
20200828,57300,57800,56900,57200,11652,-3578,614.4916598294886,1004.2410069299609,1536.3593329686905,2068.563645517372,7126.499829957829,57720.0,58150.0,58140.0,59826.666666666664,56024.583333333336
20200831,57200,58500,56400,56400,16713,-9369,815.8431221748456,836.8990381161292,1570.3502793962882,2041.649659793249,7122.049084338181,57520.0,57760.0,58100.0,59700.0,56004.583333333336
20200901,56500,57500,56300,57500,12475,-4892,520.0,762.9547824083037,1509.6688378581573,1996.287526607688,7122.654572539815,57260.0,57630.0,58170.0,59598.333333333336,56007.916666666664
20200902,57700,58400,57200,58400,7991,2571,643.7390775772433,648.3826030976633,1504.6261994262893,1932.536473710851,7123.046991105709,57340.0,57560.0,58210.0,59511.666666666664,56046.25
20200903,58700,58700,57300,57800,9017,-3122,662.117814289874,639.9999999997673,1496.3622556052396,1827.337924109668,7107.864763278467,57460.0,57620.0,58230.0,59398.333333333336,56105.416666666664
20200904,57000,58200,56700,58200,13847,-963,703.1358332498778,660.9841147862043,1489.4294209528696,1753.5392781459266,7045.310497061155,57660.0,57690.0,58260.0,59310.0,56210.0
20200907,58200,58300,57500,57900,13360,-7166,313.68774282716237,656.0487786740417,1459.4176920950354,1746.9370019807309,6972.8202488105435,57960.0,57740.0,58310.0,59256.666666666664,56316.666666666664
20200908,58200,58200,57400,57900,9448,-3686,224.4994432064365,559.0169943746807,1436.4887747560022,1755.0118708052094,6887.308665924761,58040.0,57650.0,58350.0,59240.0,56429.583333333336
20200909,57000,57700,57000,57500,12977,-2136,224.4994432064365,547.7225575048941,1441.6657032752082,1731.456515961979,6755.115911087116,57860.0,57600.0,58340.0,59165.0,56560.833333333336
20200910,57700,57800,57200,57500,6892,-4615,268.32815729997475,533.0103188491777,1108.8169371000788,1709.7628165594822,6496.45254425231,57800.0,57630.0,58095.0,59093.333333333336,56737.083333333336
20200911,57500,57900,57100,57900,6168,-2611,195.95917942265427,517.6871642215035,829.9849396224007,1634.6117445913806,6253.19017193536,57740.0,57700.0,57925.0,59006.666666666664,56907.083333333336
20200914,58400,58400,57600,58300,6787,1405,299.3325909419153,314.48370386985385,635.5116049294458,1583.0657668659064,5884.504590093666,57820.0,57890.0,57825.0,58941.666666666664,57111.25
20200915,58400,58500,57700,58500,10096,1128,407.9215610874228,333.0165161064868,615.5485358604958,1551.2217407222618,5618.773575528349,57940.0,57990.0,57810.0,58893.333333333336,57282.083333333336
20200916,58200,60700,58200,59900,43932,14991,815.8431221748456,660.6057825963243,715.8910531638178,1550.0851231107931,5420.330555725677,58420.0,58140.0,57850.0,58891.666666666664,57440.0
20200917,60300,60300,58500,59700,10373,2350,793.9773296511684,795.0471684118509,804.2853971072707,1521.9313387930856,5219.364168784257,58860.0,58330.0,57975.0,58865.0,57592.916666666664
20200918,59000,60000,58800,60000,12129,3773,727.7362159464101,936.4293886885984,908.2951062292476,1528.778561103407,5018.822055660968,59280.0,58510.0,58100.0,58881.666666666664,57744.583333333336
