date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20120803,24600,24680,24390,24435,154561,-2632,418.4542985799056,479.54144763513403,389.0741413919188,513.1036485609552,648.217426175164
20120802,24840,25010,24705,24755,139213,-830,261.6868357407394,504.3520595774345,403.5011617081897,514.6198974862771,652.9684767254495
20120801,24700,25055,24700,24945,40538,-1225,215.59220765139156,471.9862286126577,406.6321279730103,510.18321191716973,655.4653510207997
20120731,24225,25230,24225,25005,55640,3705,210.00952359357598,417.93570079618706,415.4662290726629,503.2966046200985,656.4842161404931
20120730,24325,24465,24325,24395,45775,-1878,252.61828912412645,438.76645268297347,467.00769533259074,520.5057569858888,662.6471482285922
20120727,23800,24185,23800,24185,53587,1792,317.83014331557786,425.33398641538156,530.3062794271414,542.7978956807524,669.6627416094832
20120726,23345,23550,23280,23490,22962,-2770,554.494364263516,493.3885385778636,658.586507225783,598.8664291809127,691.8270785370796
20120725,23230,23545,23165,23370,30129,7052,602.9378077380791,583.4646518856134,759.2148493673283,656.0382515523747,715.9034647445567
20120724,23500,23665,23310,23650,620495,-3556,401.03117085832713,594.108786334624,810.1225215977233,694.1962978869137,733.0259192305654
20120723,23795,23795,23400,23625,31489,-6265,279.2382495289654,585.5401352597446,842.4627588207402,729.2112557794566,749.5003323974008
20120720,24000,24130,23940,24030,136463,-985,222.5219090336966,580.8700370995219,838.4159170721007,748.6720604954902,756.0834940665776
20120719,24085,24155,23910,24000,20651,1876,248.91765706755464,544.6120178622576,822.8764715920917,768.0522397958694,759.5705098112506
20120718,24095,24095,23560,23705,38496,-7921,176.08520664723866,466.75716384432707,798.3167839271885,794.8480419061987,769.0749211714825
20120717,23695,24230,23695,24025,213088,-1035,175.2312757472271,310.86371612010305,746.6615699229793,811.1242027101139,770.9593038960031
20120716,24000,24000,23760,23915,618667,-1430,122.18837915285047,254.5825013625249,709.1559683876651,829.6085547814477,775.9986397467516
20120713,23890,23960,23420,23895,30965,-1590,112.7652428720869,223.65654472874252,643.7399999222092,847.166892091193,779.5960659479917
20120712,24180,24180,23590,23695,23386,-5208,127.96874618437404,205.67936211491906,568.2043536438671,864.1783629873237,782.3807938575304
20120711,24315,24315,23925,24020,19360,-799,119.83321743156505,159.99687496948184,522.795610157396,871.0842700654457,780.0291293972613
20120710,24130,24355,24030,24075,42983,-614,130.61393493804843,156.0296446192197,482.447147364189,872.9398724042956,773.4935796166948
